ano,versao,familia,coeff
1995,antiga,Comércio atacadista,89.03243503357355
2002,antiga,Comércio atacadista,76.27829577431841
2005,antiga,Comércio atacadista,83.96789706755541
2006,antiga,Comércio atacadista,121.61696855965818
2007,antiga,Comércio atacadista,493.3368294838544
2022,antiga,Comércio atacadista,1990.8136244749487
2023,antiga,Comércio atacadista,1976.8905088255058
1995,atual sem IPCA,Comércio atacadista,69.64664620508871
2002,atual sem IPCA,Comércio atacadista,58.92563288912023
2005,atual sem IPCA,Comércio atacadista,137.7548793136852
2006,atual sem IPCA,Comércio atacadista,206.6323189705278
2007,atual sem IPCA,Comércio atacadista,309.9484784557917
2022,atual sem IPCA,Comércio atacadista,1990.8136244749487
2023,atual sem IPCA,Comércio atacadista,1976.8905088255058
1995,corrigida IPCA,Comércio atacadista,318.3559156765561
2002,corrigida IPCA,Comércio atacadista,827.3611803818826
2005,corrigida IPCA,Comércio atacadista,1045.1462913124265
2006,corrigida IPCA,Comércio atacadista,1111.2759459710414
2007,corrigida IPCA,Comércio atacadista,1174.5249542570084
2022,corrigida IPCA,Comércio atacadista,1990.8136244749487
2023,corrigida IPCA,Comércio atacadista,1890.0695966479536
1995,antiga,Comércio varejista,14.82525431225647
2002,antiga,Comércio varejista,14.855284398665296
2005,antiga,Comércio varejista,18.63284698678056
2006,antiga,Comércio varejista,37.50483952397884
2007,antiga,Comércio varejista,101.23514745643216
2022,antiga,Comércio varejista,398.0543078518685
2023,antiga,Comércio varejista,430.4570030943522
1995,atual sem IPCA,Comércio varejista,14.881297865938976
2002,atual sem IPCA,Comércio varejista,14.1056494801885
2005,atual sem IPCA,Comércio varejista,26.17065836039709
2006,atual sem IPCA,Comércio varejista,39.25598754059564
2007,atual sem IPCA,Comércio varejista,58.88398131089346
2022,atual sem IPCA,Comércio varejista,398.0543078518685
2023,atual sem IPCA,Comércio varejista,430.4570030943522
1995,corrigida IPCA,Comércio varejista,43.5954679274106
2002,corrigida IPCA,Comércio varejista,164.63454299991943
2005,corrigida IPCA,Comércio varejista,212.21308416735425
2006,corrigida IPCA,Comércio varejista,226.88526118291733
2007,corrigida IPCA,Comércio varejista,241.01830601187436
2022,corrigida IPCA,Comércio varejista,398.0543078518685
2023,corrigida IPCA,Comércio varejista,411.552228401458
1995,antiga,Indústria beneficiada,29.830211347320773
2002,antiga,Indústria beneficiada,28.837650960117987
2005,antiga,Indústria beneficiada,54.62441851545078
2006,antiga,Indústria beneficiada,110.45048115055056
2007,antiga,Indústria beneficiada,306.83425020481366
2022,antiga,Indústria beneficiada,1119.7734168730938
2023,antiga,Indústria beneficiada,886.713328821635
1995,atual sem IPCA,Indústria beneficiada,23.81242093871565
